repo_name,commit,message,Is_Positive,Is_Negative,Justification,Certain,Comment,Sampling
symfony/web-profiler-bundle,1c885307662cfa7414e5bdb2e65d3e3a9520636e,"Merge branch '2.8' into 3.0

* 2.8:
  [ci] use hirak/prestissimo
  [Filesystem] Fix transient tests
  [WebProfiler] Sidebar button padding
  Updated some missing READMEs
  [HttpFoundation] Avoid warnings when checking malicious IPs
  [HttpFoundation] Set the Content-Range header if the requested Range is unsatisfied

Conflicts:
	appveyor.yml
	src/Symfony/Component/Intl/Tests/DateFormatter/AbstractIntlDateFormatterTest.php
",FALSE,FALSE, is descriptive,,,29_dec_2020_neg_hits_e447a9eef8
shopgate/theme-gmd,daa292b7849ff79cf2159ab6c7e7a19199b19384,"CON-2837 - toast/snackbar message extended by possible action (first implementation for favorites - undo). (dirty)
",FALSE,TRUE,dirty,,,29_dec_2020_neg_hits_e447a9eef8
google/nomulus,1004ef5621eb70db72de1659180a7b9dbaa20384,"Allow unsetting of the support email group, disabling ""support users""

In addition to just making good sense to not have support group for some
environments (local? unittest? crash?) - connecting with G Suit requires
additional permissions that are harder to find.

Specifically, it requires the Json Credentials that just aren't set in the
Dummy Keyring used on some environments.

So we make sure to not even *try* to create the credentials if the support
email isn't set

-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=225589255
",FALSE,FALSE,making good sense,,,29_dec_2020_pos_hits_f5d826c527ad
Taeung/tip,8c56cacc724c7650b893d43068fa66044aa29a61,"libata: fix unexpectedly frozen port after ata_eh_reset()

To work around controllers which can't properly plug events while
reset, ata_eh_reset() clears error states and ATA_PFLAG_EH_PENDING
after reset but before RESET is marked done.  As reset is the final
recovery action and full verification of devices including onlineness
and classfication match is done afterwards, this shouldn't lead to
lost devices or missed hotplug events.

Unfortunately, it forgot to thaw the port when clearing EH_PENDING, so
if the condition happens after resetting an empty port, the port could
be left frozen and EH will end without thawing it, making the port
unresponsive to further hotplug events.

Thaw if the port is frozen after clearing EH_PENDING.  This problem is
reported by Bruce Stenning in the following thread.

 http://thread.gmane.org/gmane.linux.kernel/1123265

stable: I think we should weather this patch a bit longer in -rcX
	before sending it to -stable.  Please wait at least a month
	after this patch makes upstream.  Thanks.

-v2: Fixed spelling in the comment per Dave Howorth.

Signed-off-by: Tejun Heo <546b05909706652891a87f7bfe385ae147f61f91@kernel.org>
Reported-by: Bruce Stenning <db71f527a14d0a1ec41dddcad31640e26f938545@indigovision.com>
Cc: 4fbacc2fa0ffdbb11bf1ad6925b886ebd08dd15f@kernel.org
Cc: Dave Howorth <f6512f61768d27eaad90be42d3d3021b8cb8e694@mrc-lmb.cam.ac.uk>
Signed-off-by: Jeff Garzik <15f615bf7d20c2937c7eb5aa759110fd6768848c@pobox.com>
",TRUE,TRUE,", thanks",,,29_dec_2020_pos_hits_f5d826c527ad
tweepy/tweepy,cb442fb92eafcd8aa2521cec9ee66f417f44f3a6,"Merge pull request #401 from tweepy/s3_upload

Upload HTTP record to S3 after a successful test",FALSE,FALSE,successful test,,,29_dec_2020_pos_hits_f5d826c527ad
HerculesWS/Hercules,07f8458340bbf7eb7e037533385720f44fc26d37,"* Well, as it turns out, DETECTOR is actually detect hidden (not cast sense.) Elder is at least fixed though.
- Reverted the mob mode change for nearly all mobs. Elder is exempt from this revert.
- Adding some ""closer to official"" stats for the Okolnir Monsters, Wish Maiden, Piamette, Etc.
* As an added bonus for that snaffu I'm implementing the Okolnir mob skills as well.


git-svn-id: c1e39603916b71782cde5facdf0b79eff05c1414@13743 54d463be-8e91-2dee-dedb-b68131a5f0ec
",false ,TRUE,bonus,,,29_dec_2020_pos_hits_f5d826c527ad
hashicorp/vault,989b33483bf42fd1c4b109c45c6096bc2939d5a4,"Ensure that the 'file' audit backend can successfully open its given path before returning success. Fixes #550.
",FALSE,FALSE,successfully,,,29_dec_2020_pos_hits_f5d826c527ad
stinsonga/emacs-mirror,95fa1ff74aa9ae40d5ef4b680ea606287c40327f,"* mm-util.el, nnultimate.el, nnweb.el, nnslashdot.el: Sync with
	the Gnus CVS.

	* mm-util.el (mm-mime-mule-charset-alist): Move down and call
	mm-coding-system-p. Don't correct it only in XEmacs.
	(mm-charset-to-coding-system): Use mm-coding-system-p and
	mm-get-coding-system-list.
	(mm-emacs-mule, mm-mule4-p): New.
	(mm-enable-multibyte, mm-disable-multibyte,
	mm-enable-multibyte-mule4, mm-disable-multibyte-mule4,
	mm-with-unibyte-current-buffer,
	mm-with-unibyte-current-buffer-mule4): Use them.
	(mm-find-mime-charset-region): Treat iso-2022-jp.

	From  Dave Love  <fx@gnu.org>:

	* mm-util.el (mm-mime-mule-charset-alist): Make it correct by
	construction.
	(mm-charset-synonym-alist): Remove windows-125[02].  Make other
	entries conditional on not having a coding system defined for
	them.
	(mm-mule-charset-to-mime-charset): Use
	find-coding-systems-for-charsets if defined.
	(mm-charset-to-coding-system): Don't use
	mm-get-coding-system-list.  Look in mm-charset-synonym-alist
	later.  Add last resort search of coding systems.
	(mm-enable-multibyte-mule4, mm-disable-multibyte-mule4)
	(mm-with-unibyte-current-buffer-mule4): Just treat Mule 5 like
	Mule 4.
	(mm-find-mime-charset-region): Re-write.
	(mm-with-unibyte-current-buffer): Restore buffer as well as
	multibyteness.
",FALSE,FALSE,Developer named Love,,,29_dec_2020_pos_hits_f5d826c527ad
stinsonga/emacs-mirror,87fb1e38dc284a4e654a7592796d8e66e597f86e,"Fix winner in cl-lib not loaded case

* lisp/winner.el (winner-change-fun): Don't use cl-lib functions
without requiring CL
",FALSE,FALSE,winner is subject,,,29_dec_2020_pos_hits_f5d826c527ad
skyarch-networks/skyhopper,add251d819656b2085fc8c92db5d343ccb8dd62f,"User friendly UI
",FALSE,FALSE,friendly,,,29_dec_2020_pos_hits_f5d826c527ad
mltframework/shotcut,510b93da12bac5ed744364c23b83f1ec840c7aae,"Make Lens Correction keyframable.

Thanks to sauron in the forum.
",TRUE,FALSE,thanks,,,29_dec_2020_pos_hits_f5d826c527ad
facebook/flow,d67c989530c36c94c2ad9fe0fa2144106e7f5e32,"Use lists instead of maps for parsed and unparsed heaps in saved state

Summary:
Maps are expensive to construct and manipulate, and in this case we don't need the `O(log n)` lookups that they provide. Plus, we actually convert these maps to lists anyway during init.

This is a very small saved state size win, and a decent saved state init time win.

I may explore doing something similar with the dependency graph, but I don't think there are significant wins to be had by doing something similar with the other fields here, since the others are consumed as maps so we would have to convert them to maps anyway, or make some more invasive change to Flow. I think it's unlikely to be worth it. The one exception is the dependency graph, which I might try converting at some point.

Reviewed By: samwgoldman

Differential Revision: D24315881

fbshipit-source-id: ed2ff0e9487cd930660c6a5eacaca4d51caeea2b
",FALSE,FALSE,worth it,,,29_dec_2020_pos_hits_f5d826c527ad
rpherbig/dr-scripts,f47bfc8bdb1289b9e7953296c9fe4f1dd1a6fa29,"Updated the logic to be more accurate and useful.  (#3029)

* Updated the logic to be more accurate and useful. It was using the wrong bag before, and now it checks count.

* Updated logic, removed forced, made logic smarter.

* Updated the logic in case a number of pets isn't entered and there is no hand_hand amount in the yaml.

* Minor wording change for the error statement.
",TRUE,FALSE,smarter,,,29_dec_2020_pos_hits_f5d826c527ad
kriztan/Pix-Art-Messenger,3815d4efa378846c8aef840ad659268a0bef1536,"Fetch bundles on-demand, encrypt in background

Bundles are now fetched on demand when a session needs to be
established. This should lessen the chance of changes to the bundles
occuring before they're used, as well as lessen the load of fetching
bundles.

Also, the message encryption is now done in a background thread, as this
can be somewhat costly if many sessions are present. This is probably
not going to be an issue in real use, but it's good practice anyway.
",TRUE,FALSE,good practice,FALSE,,29_dec_2020_pos_hits_f5d826c527ad
biosistemika/scinote-web,86667feb6b6b86d935a14b15ceae19a435c91a81,"Add remembered state for smart annotation
",FALSE,FALSE,smart annotation,,,29_dec_2020_pos_hits_f5d826c527ad
AshamaneProject/AshamaneCore,b7f46d680d657803dfa566938036f1e2c2b45288,"Core/SmartAI: Implement SMART_EVENT_FRIENDLY_HEALTH_PCT.

 On current clean TDB, there are a total of 106 creatures using
   SMART_EVENT_FRIENDLY_HEALTH (non-PCT) which has a flat first parameter, but
   only 8 of these use the event correctly (and therefore only 8 of them
   actually work).

Closes #10520
",FALSE,FALSE,subject -> SMART_EVENT_FRIENDLY_HEALTH_PCT,,,29_dec_2020_pos_hits_f5d826c527ad
simpeg/simpeg,23a3768b5232ad15e553b627a56190297b2e9c16,"add spline fun
",FALSE,FALSE,"spline fun? Well, the auther is amuzed",,,29_dec_2020_pos_hits_f5d826c527ad
glimmerjs/glimmer-vm,de511d09f41f393e0ec7e08764a423339edcd707,"Ensure removal values are respected for safe attr/prop.

Prior to this change it was not possible to remove one of our sanitized
attributes/properties, because we always used the `setAttribute`
logic (which explicitly noop's initial sets when a removal value is
being used).

This updates to sanitize and call `super.*` properly for both
`setAttribute` and `updateAttribute`.
",FALSE,FALSE,values are respected,,,29_dec_2020_pos_hits_f5d826c527ad
Taeung/tip,07d3c4afc55870a4445d322adf4190463580da7d,"Merge branch 'dpaa-cleanups'

yuan linyu says:

====================
net: dpaa: two minor cleanup

original i try to remove duplicate code which clean allocated per-cpu area,
thanks to David S. Miller, there are two build warning as errors.
path 1: fix old code maybe-uninitialized warning.
path 2: remove duplicate code and fix unused var warning.
====================

Signed-off-by: David S. Miller <fe08d3c717adf2ae63592e4c9aec6e3e404d8e3e@davemloft.net>
",TRUE,FALSE,thanks,,,29_dec_2020_pos_hits_f5d826c527ad
gcarq/freqtrade,28b1ecb109bccd426f9eb739aaa558a0cf104c8d,"Convert CryptoToFiatConverter into a Singleton

Result in a speed up of the unittest from 60s to 4s

Because it cost time to load Pymarketcap() every time we create
a CryptoToFiatConverter, it worth it to change it into a
Singleton.
",FALSE,FALSE,worth it,,,29_dec_2020_pos_hits_f5d826c527ad
airbnb/react-dates,83314b5cc2074755af0f68866ad24fc3866981dd,Replace dumb quotes with smart quotes,TRUE,FALSE,"dumb, smart",,Author is very emotional about the quotes,29_dec_2020_pos_hits_f5d826c527ad
LLNL/spack,c907937ff48d2c5f004061a0caf4fe61452ca8c6,"ECP VELOC (#8581)

* kvtree package file

* MPI is default on

* proper mpi compiler

* rankstr package

* better rankstr description

* typo

* redset package

* shuffile package

* er package

* axl package

* proper pythor

* mpi is default on

* alpha releases and master versions

* veloc package with boost headers dep

* cmake version

* added C++11 requirement

* flake8

* flake8

* ecp tag

* axl: better async api option handling

* veloc package description

* prettier args list

* C++11 flag handler

* v1.0 of veloc
",TRUE,FALSE,prettier args list,FALSE,,29_dec_2020_pos_hits_f5d826c527ad
f-droid/fdroiddata,d66e4e2a24de321febc78eaebb2526671b229cfd,"Prepay Credit: weird build
",FALSE,TRUE,weird,,,29_dec_2020_neg_hits_f5d826c527ad
xwiki/xwiki-platform,ee3aa3caaa4d5a4be69edbdacf95b18e258450a2,"XWIKI-2721: I'm commenting the style sheet configuration for now because it affects the behavior of the new WYSIWYG editor in a very bad way. I'll investigate this for 1.7M1.

git-svn-id: 04343649e741710b2e0f622af6defd1ac33e5ca5@13151 f329d543-caf0-0310-9063-dda96c69346f
",FALSE,TRUE,very bad way,,,29_dec_2020_neg_hits_f5d826c527ad
faucetsdn/faucet,89c533f297afbc9637815dd392b41444df9d61a9,"Make configuration of nailed forwarding less confusing.
",FALSE,TRUE,confusing,,,29_dec_2020_neg_hits_f5d826c527ad
Taeung/tip,78109d230b797077d58600694ca427b9830eb600,"Revert ""amdgpu/dc: drop dml display_mode_support.c (v2)""

This reverts commit 5e0adbff084f33202db36be798c583a115990392.

Unfortunately these clash with our DML update from the HW guys.
Will attempt to reroll them after.

Signed-off-by: Alex Deucher <08dc22c6156113f2deff178e35e3ed9b24d6af9e@amd.com>
",FALSE,TRUE,unfortunately,,,29_dec_2020_neg_hits_f5d826c527ad
apache/arrow,ed54dce64a4651a1d26aed373b09b9af9ee2123e,"ARROW-1253: [C++/Python] Speed up C++ / Python builds by using conda-forge toolchain for thirdparty libraries

@pcmoritz I removed the travis_script_plasma.sh and combined the common bits with travis_script_python.sh; it seemed like there was some redundant work and would be easier to test everything in a single build. Let me know if I messed something up

Author: Wes McKinney <wes.mckinney@twosigma.com>

Closes #884 from wesm/ARROW-1253 and squashes the following commits:

30a13ee3 [Wes McKinney] Formatting
28bc6be8 [Wes McKinney] Run unit tests from installed library
fcf7940d [Wes McKinney] Prevent existing LD_LIBRARY_PATH from being blown away
c67bb68b [Wes McKinney] Speed up C++ / Python builds by using conda-forge toolchain to avoid rebuilding EPs. Use ninja for builds when using toolchain
",FALSE,TRUE,Let me know if I messed something up,FALSE,regarding the future,29_dec_2020_neg_hits_f5d826c527ad
bueler/p4pdes,c76ddd7899ee43dd31480545c0390188a1df5de3,"Set up for fish3, but too tired to start writing it now.
",FALSE,TRUE,tired,,,29_dec_2020_neg_hits_f5d826c527ad
Taeung/tip,59983439c09f0d319cd288d27c0f70cf8764e09a,"[media] usbvision: remove broken testpattern

Enabling force_testpattern module parameter in usbvision causes kernel panic.
Things like that does not belong to the kernel anyway so the fix is easy.

Signed-off-by: Ondrej Zary <ba324ca7b1c77fc20bb970d5aff6eea9377918a5@rainbow-software.org>
Signed-off-by: Mauro Carvalho Chehab <ad86ba2154032c9f55743a190faa2459a9d61d42@redhat.com>
",FALSE,FALSE,kernal is cool even when panics,,,29_dec_2020_neg_hits_f5d826c527ad
Taeung/tip,6373dca16c911b2828ef8d836d7f6f1800e1bbbc,"slub: fix a crash with SLUB_DEBUG + KASAN_SW_TAGS

In process_slab(), ""p = get_freepointer()"" could return a tagged
pointer, but ""addr = page_address()"" always return a native pointer.  As
the result, slab_index() is messed up here,

    return (p - addr) / s->size;

All other callers of slab_index() have the same situation where ""addr""
is from page_address(), so just need to untag ""p"".

    # cat /sys/kernel/slab/hugetlbfs_inode_cache/alloc_calls

    Unable to handle kernel paging request at virtual address 2bff808aa4856d48
    Mem abort info:
      ESR = 0x96000007
      Exception class = DABT (current EL), IL = 32 bits
      SET = 0, FnV = 0
      EA = 0, S1PTW = 0
    Data abort info:
      ISV = 0, ISS = 0x00000007
      CM = 0, WnR = 0
    swapper pgtable: 64k pages, 48-bit VAs, pgdp = 0000000002498338
    [2bff808aa4856d48] pgd=00000097fcfd0003, pud=00000097fcfd0003, pmd=00000097fca30003, pte=00e8008b24850712
    Internal error: Oops: 96000007 [#1] SMP
    CPU: 3 PID: 79210 Comm: read_all Tainted: G             L    5.0.0-rc7+ #84
    Hardware name: HPE Apollo 70             /C01_APACHE_MB         , BIOS L50_5.13_1.0.6 07/10/2018
    pstate: 00400089 (nzcv daIf +PAN -UAO)
    pc : get_map+0x78/0xec
    lr : get_map+0xa0/0xec
    sp : aeff808989e3f8e0
    x29: aeff808989e3f940 x28: ffff800826200000
    x27: ffff100012d47000 x26: 9700000000002500
    x25: 0000000000000001 x24: 52ff8008200131f8
    x23: 52ff8008200130a0 x22: 52ff800820013098
    x21: ffff800826200000 x20: ffff100013172ba0
    x19: 2bff808a8971bc00 x18: ffff1000148f5538
    x17: 000000000000001b x16: 00000000000000ff
    x15: ffff1000148f5000 x14: 00000000000000d2
    x13: 0000000000000001 x12: 0000000000000000
    x11: 0000000020000002 x10: 2bff808aa4856d48
    x9 : 0000020000000000 x8 : 68ff80082620ebb0
    x7 : 0000000000000000 x6 : ffff1000105da1dc
    x5 : 0000000000000000 x4 : 0000000000000000
    x3 : 0000000000000010 x2 : 2bff808a8971bc00
    x1 : ffff7fe002098800 x0 : ffff80082620ceb0
    Process read_all (pid: 79210, stack limit = 0x00000000f65b9361)
    Call trace:
     get_map+0x78/0xec
     process_slab+0x7c/0x47c
     list_locations+0xb0/0x3c8
     alloc_calls_show+0x34/0x40
     slab_attr_show+0x34/0x48
     sysfs_kf_seq_show+0x2e4/0x570
     kernfs_seq_show+0x12c/0x1a0
     seq_read+0x48c/0xf84
     kernfs_fop_read+0xd4/0x448
     __vfs_read+0x94/0x5d4
     vfs_read+0xcc/0x194
     ksys_read+0x6c/0xe8
     __arm64_sys_read+0x68/0xb0
     el0_svc_handler+0x230/0x3bc
     el0_svc+0x8/0xc
    Code: d3467d2a 9ac92329 8b0a0e6a f9800151 (c85f7d4b)
    ---[ end trace a383a9a44ff13176 ]---
    Kernel panic - not syncing: Fatal exception
    SMP: stopping secondary CPUs
    SMP: failed to stop secondary CPUs 1-7,32,40,127
    Kernel Offset: disabled
    CPU features: 0x002,20000c18
    Memory Limit: none
    ---[ end Kernel panic - not syncing: Fatal exception ]---

Link: 321eed1c4ddece0601b6d2972ce2ef5ba61ab7d1@lca.pw
Signed-off-by: Qian Cai <34dfae5cb27a24b6de91a38903bc4c3e46989dc4@lca.pw>
Reviewed-by: Andrey Konovalov <248dd96652a047b675d8f9c63c018de72461a2f7@google.com>
Signed-off-by: Andrew Morton <5c1e68b099950c134891f0b6e179498a8ebe9cf9@linux-foundation.org>
Signed-off-by: Linus Torvalds <69652caca27c8b940640ad396ab71f93cacec34f@linux-foundation.org>
",FALSE,TRUE,messed,,,29_dec_2020_neg_hits_f5d826c527ad
stratisproject/StratisBitcoinFullNode,ccab3fe960a02a65e206bb95433c367fd06286d1,"[SC] Integrate with PoA whitelisting (#3369)

* Add empty class and tests

* Add unit tests

* Make tests pass

* Rename interface

* Implement interface

* Add whitelisted hash checker implementation and tests

* Add sha256 code hashing strategy implementation

* Docs

* Use hash repository interface everywhere

* Add missing Initialize method to interface

* Fix test

* Add desired ContractWhitelist extension method

* Add signed contract extensions

* Remove old extension

* Move UseSignedContracts

* Add docs and DI

* Docs

* Fix NodeRunners

* Remove need for SignedPoAMockChain

* Add whitelisted contract PoA runner

* Add whitelist tests

* Add missing dispose

* Update SC mempool validator

* Remove useless test

* Comments

* Move interfaces

* Singleton

* Typo

* Check hash width

* Keccak

* Keccak tests for consistency

* Move length check

* Fix fed gateway feature

* Move interface

* Unvar and rename

* Move interface

* Rename

* Rename

* Add partial and full tx validation rules. Make code hash rule full validation

* Fix type

* Fix typo

* Use IEnumerable

* Remove unnecessary list
",FALSE,TRUE,useless,,,29_dec_2020_neg_hits_f5d826c527ad
iomad/iomad,41a42c1d0268773117fa96d3d7ea5c3238bd2936,"mod-wiki MDL-25003 Wiki history diff view now uses divs for layout rather than table which fixes the nasty overflow problems that were occurring
",FALSE,TRUE,nasty,,,29_dec_2020_neg_hits_f5d826c527ad
JetBrains/intellij-community,bb9f96d0ce364510c4a8496988b8667b3c9c09da,"IDEA-89401 Grey current file in navigation bar while standing in the editor
",FALSE,FALSE,grey,,,29_dec_2020_neg_hits_f5d826c527ad
Taeung/tip,516cf1be07cf3ab52e6d2f64da33b0fa5d9e0042,"dynamic_debug: use printk(KERN_WARNING..) in stub function

drivers/infiniband/ulp/srp/ib_srp.c #defines pr_fmt() PFX fmt, but PFX
is not #defined until after <linux/*> headers are included.

This results in a bad expansion of the pr_warn() in the stub function.

2084c2084
<   printk(""<4>"" PFX ""dyndbg supported only in "" ""CONFIG_DYNAMIC_DEBUG builds\n"")

Signed-off-by: Greg Kroah-Hartman <4645f7897fd33786a2ee1264d590b3c400559d85@linuxfoundation.org>
",FALSE,TRUE,bad,,,29_dec_2020_neg_hits_f5d826c527ad
BlackAndWhiteScallion/Night-of-Shooting-Stars,9057d77c33cd1a00c3b4ca548d86a17ee488e7f8,"slight updates

updates to some AI, optimizing a few algorithms, changed some descriptions.

The weird extension bug is still there.
I honestly cannot see any reason for the inability of boss and boss1 to coexist. The names are different, they import different librarys, and the error message provided is completely non-sensical. No game at game.loadModeAsync? you can't even call the function if said error existed, how do you move into a directory successfully and then say the directory does not exist?
However, the second file to import (which is boss1) is the consistently broken one. The problem might be function override, which can still happen in javascript, but should not have any reason to happen because there is no commonity between these files in terms of reference. Also, function override should cause the second function to be the functional one, not the errored one.
I get the idea that the error is at some really obscure spot with some really trivial thing....
",FALSE,TRUE,inability,,,29_dec_2020_neg_hits_f5d826c527ad
llvm-mirror/llvm,1870f29c6c7db1230aedd44a93a8a2d9339c7dd5,"Separate out parsing of decimal number.  Use this to only allocate
memory for the significand once up-front.  Also ignore insignificant
trailing zeroes; this saves unnecessary multiplications later.


git-svn-id: 0ff597fd157e6f4fc38580e8d64ab130330d2411@42964 91177308-0d34-0410-b5e6-96231b3b80d8
",FALSE,FALSE,"insignificant
trailing zeroes",,,29_dec_2020_neg_hits_f5d826c527ad
astropy/astropy,b0c4c3462dde66ac7be9cf291734d013a29d1dc5,"took a first stab at adding more detail to designing new coordinate systems docs
",FALSE,FALSE,stab,,,29_dec_2020_neg_hits_f5d826c527ad
Taeung/tip,4d2c9d5ddc3a38abb12253b4fd6ac05bfc3b4462,"staging/android: Initial partial kernel-doc for ashmem.c

I am beginning to understand the core concepts at play here.

I am nowhere near finished with this class - However, it is better if
I commit what I have documented so far tonight - That way, if I mess
up tomorrow morning, I can just roll back to here.

Sorry if this clutters things up. In the end, once *everything* is
documented, it will make understanding the Android staging driver
easier to understand as a programmer - Hopefully for both new developers
and current ones.

Signed-off-by: Cruz Julian Bishop <2ec049a14d87a31aea1a3d03a4724ab112720c17@gmail.com>
Signed-off-by: Greg Kroah-Hartman <4645f7897fd33786a2ee1264d590b3c400559d85@linuxfoundation.org>
",FALSE,FALSE,sorry (but not mess tommorow),,,29_dec_2020_neg_hits_f5d826c527ad
samba-team/samba,5bd7f9c61bb2fea1867ac6657c9b30799ba49d8f,"s3: OneFS implementation of change notify

The OneFS Samba implementation of change notify is modeled after the
usage of Linux's inotify kernel subsystem.  A single call is made
into the onefs.so VFS module to initialize kernel tracking of certain
file change events.  When these events occur a kernel notification is
sent to smbd and the notification event is translated and given to the
general Samba Change Notify layer through a callback function.

The most difficult aspect is converting an SMB CompletionFilter to
a matching ifs_event mask, and then back to an appropriate change
notify action.  Currently, not all possible cases are handled by the
this module, but the most prevalent ones, which are tested by
smbtorture, are implemented.
",FALSE,TRUE,difficult,,,29_dec_2020_neg_hits_f5d826c527ad
GNOME/gnome-control-center,50b39dc570aaf0fc73016f6a647e11438497ad81,"wacom: Drop old_axes from calibration API

The calibration utility was modified in cf408c27b0 to return unitless
padding measurements instead of axis values for storage in gsettings.
Unfortunately, the code still assumes in some places that it is working
with axes rather than paddings. This causes subtle math errors that
result in undesired cursor offsets after the calibration is applied.

Fortunately, this can be simplified, since tablet area is always reset
to the default state before starting calibration, we are sure that the
value will remain constant. Since both axes are in the same 0..1 scale,
calibration code doesn't need to swap X/Y back and forth to calculate
each axis scale.

Additionally, the code to get the calibrated axis values has been moved
into its own function along with a new function that returns padding
values suitable for consumption by g-c-c. All calculations are performed
internally in the 0..1 range.

https://bugzilla.gnome.org/show_bug.cgi?id=784009

Co-Authored-By: Carlos Garnacho <8aa797d77d86809a7bc4a8544e3c327451cf6b4f@gnome.org>
",FALSE,TRUE,unfortunately,,,29_dec_2020_neg_hits_f5d826c527ad
http4s/http4s,195cfe52170ed1ad11532dbf5dc87ad7e0ba4573,"I did this in GitHub editor

And I'm probably going to regret it.",FALSE,TRUE,regret,,,29_dec_2020_neg_hits_f5d826c527ad
ilscipio/scipio-erp,8a45f28f4980dabca6d4dc6fb1ff111a803be80d,"ofbiz merge: 3cf1890b68 from trunk (fix bad service error handling)

1 major bugfix commit (3cf1890b685a9be3e7c9dc792e16fd48e8e19c48), adds
missing service result error checks (notorious in stock):
""Implemented: Accounting: Handle service response effectively
(OFBIZ-10021)""
from https://github.com/apache/ofbiz-framework.git trunk",FALSE,FALSE,bad service error,,,29_dec_2020_neg_hits_f5d826c527ad
ArduPilot/ardupilot,bf0ce7917602d2c17ce9b15e098209566c46d4ec,"SITL: make it possible to use SITL-HIL

strangely enough, using HIL in SITL is a great way to debug HIL!
",FALSE,TRUE,strangely,,,5_jan_2021_neg_hits_b471e816b55e8356a2d4c2ea3dcc851c68794f21
edx/configuration,5ed2193b3430e6b7d8d7087c5d36147db090c548,"SEC-208, blackhole python_lib.zip

missed file

missed rename

rename the file to make our convention

clarifying comment.

Stupid is as stupid does.

whitespace
",FALSE,TRUE,stupid,,,5_jan_2021_neg_hits_b471e816b55e8356a2d4c2ea3dcc851c68794f21
kythe/kythe,eb11d947d3b5b7870c8ca9e292caa61af9cb1d7d,"Go: Provide implicit package initializers with a definition.

Summary:
The call graph spec [1] requires that the caller blamed have a definition.  For
implicit functions like the package initializer in Go, this was not previously
satisfied. Follow C++ in attributing the initializer to the head of a file.

[1]: http://www.kythe.io/docs/schema/callgraph.html

Reviewers: #core_team, schroederc

Reviewed By: #core_team, schroederc

Subscribers: #core_team

Differential Revision: https://phabricator-dot-kythe-repo.appspot.com/D2106
",FALSE,TRUE,blamed,,,5_jan_2021_neg_hits_b471e816b55e8356a2d4c2ea3dcc851c68794f21
hlissner/doom-emacs,74c47d560b17cfb04856ff3967656189fa270fef,"Fix autoload tag for doom/evil-close-folds
",FALSE,FALSE,evil as subject,,,5_jan_2021_neg_hits_b471e816b55e8356a2d4c2ea3dcc851c68794f21
facebook/folly,2586be5b22c43e5813ccdb9b7509d9908add41a0,"Deprecate AsyncTransportWrapper

Summary:
All implementations of transports in practice were all AsyncTransportWrappers
(AsyncSocket, AsyncSSLSocket, AsyncFizzBase, etc.).

AsyncTransportWrapper was confusing. The only additional functionality that
it provided was the ability to query underlying transports, a piece of
functionality which makes just as much sense on AsyncTransport.

The simplified model:

""AsyncTransport deals with bidirectional I/O. It is both an AsyncReader, and
an AsyncWriter. It may be nested.""

This diff changes AsyncTransportWrapper usages in folly to refer to
AsyncTransport, and aliases AsyncTransportWrapper for compatibility.

Reviewed By: yfeldblum

Differential Revision: D21915048

fbshipit-source-id: 741fad91b8f7c8080f942168f5513b12602cfe9a
",FALSE,TRUE,confusing,,,5_jan_2021_neg_hits_b471e816b55e8356a2d4c2ea3dcc851c68794f21
dolphin-emu/dolphin,3bdf7d3711cb7ec2f750139531e2de52288756bb,"this is a ugly unstable commit but i'm going to be out for work some days so ...
implemented donko's xfb in D3D:
the bad things:
*is solower in some cases, slower as opengl
*it do not work in dual core mode, it seems direct3d has serious synchronization problems, to the other devs please if you can take a look and help me :)
*real xfb still not working i have to give it more time to make it work.
the good:
*games that uses multiples xfbs will work now using the virtual XFB.
*implemented a more hardware like approach to scaling, now to calculate the pixel scaling i use the xfb size not the efb so the screen pixels relation is more correct now.
*simplified a little donko's virtual xfb to make it less memory consuming as xfb textures are the exact size of the scaled xfb and not full target width.
* when it works even real xfb will let us use super sampling.
I repeat this commit is totally unstable and in dual core mode it will for sure hang the emulator or at best give totally incorrect results.
Other devs please help as thread sync is not one of my strong points :)
i'll keep waiting for the comments an the -1 :)


git-svn-id: 8321eaa3640e6e5bde40e398eb199b47712e1f8d@5195 8ced0084-cf51-0410-be5f-012b33b47a6e
",TRUE,TRUE,"good, ugly, bad",,,5_jan_2021_neg_hits_b471e816b55e8356a2d4c2ea3dcc851c68794f21
google/llvm-propeller,fac35c0a9b6bae81e8aa6827d750fc12435e1e6e,"In ExprEvaluatorBase::VisitOpaqueValueExpr() add a sanity check to avoid
infinite recursion due to bad OpaqueValueExpr.

llvm-svn: 146237
",FALSE,TRUE,bad,FALSE,,5_jan_2021_neg_hits_b471e816b55e8356a2d4c2ea3dcc851c68794f21
tgstation/tgstation,5035820e9c41d2d138df44257701e894a90b051f,"fixes me being stupid and not setting creator right

Now for the conflicts...
",FALSE,TRUE,stupid,,,5_jan_2021_neg_hits_b471e816b55e8356a2d4c2ea3dcc851c68794f21
